image,video_pred,minutage_pred
i000,v001,9
i001,v050,18
i002,out,
i003,v042,13
i004,v095,0
i005,v048,12
i006,v042,7
i007,v040,6
i008,v084,0
i009,v064,9
i010,v056,3
i011,v001,9
i012,v062,5
i013,v016,4
i014,v040,3
i015,v095,0
i016,v094,10
i017,v010,9
i018,v081,2
i019,v041,10
i020,v048,2
i021,v022,9
i022,v044,10
i023,v070,22
i024,v018,4
i025,v079,6
i026,v019,7
i027,v034,24
i028,out,
i029,v048,6
i030,v012,1
i031,out,
i032,v022,4
i033,out,
i034,v048,6
i035,v009,5
i036,v032,16
i037,out,
i038,v079,0
i039,v008,3
i040,v046,2
i041,v074,0
i042,out,
i043,v034,0
i044,out,
i045,v006,1
i046,v024,18
i047,v026,11
i048,v038,7
i049,v062,5
i050,v042,11
i051,v064,13
i052,v028,1
i053,v080,16
i054,v065,7
i055,out,
i056,out,
i057,v030,11
i058,out,
i059,v072,4
i060,v056,16
i061,v009,5
i062,v094,11
i063,v095,0
i064,out,
i065,v024,13
i066,v019,1
i067,out,
i068,v090,2
i069,out,
i070,v027,3
i071,v094,13
i072,v100,10
i073,v034,24
i074,v065,14
i075,v078,19
i076,v070,22
i077,v024,1
i078,v008,7
i079,v095,0
i080,v015,5
i081,v017,10
i082,v088,3
i083,v077,14
i084,v073,8
i085,v026,0
i086,v040,3
i087,v062,1
i088,v083,0
i089,v007,17
i090,v089,19
i091,v094,11
i092,v087,19
i093,v009,2
i094,v030,12
i095,v062,13
i096,v033,8
i097,v016,3
i098,v088,3
i099,v055,3
i100,v009,5
i101,v054,8
i102,v091,7
i103,out,
i104,out,
i105,v009,14
i106,v012,1
i107,v040,8
i108,v016,4
i109,out,
i110,v077,12
i111,v084,6
i112,v047,0
i113,v068,4
i114,v040,7
i115,v088,4
i116,v071,4
i117,v001,5
i118,v100,3
i119,v050,3
i120,v086,0
i121,out,
i122,v042,9
i123,v077,4
i124,v040,6
i125,v005,0
i126,v077,2
i127,v065,9
i128,v051,1
